Date,Open,High,Low,Close,Volume,Symbol
22/12/2015,277.99,281.89,277.99,279.4,2294900,ENGRO
23/12/2015,279.88,280.3,275.03,275.49,827200,ENGRO
28/12/2015,275.5,278.85,275,275.66,1653100,ENGRO
29/12/2015,275.25,284,275.2,280.75,2360000,ENGRO
30/12/2015,280.98,283,278.75,279.89,1174000,ENGRO
31/12/2015,281.99,281.99,277.51,279.39,440900,ENGRO
01/01/2016,279.2,286.84,277.01,284.85,1378200,ENGRO
04/01/2016,284.65,284.95,282.11,282.76,475400,ENGRO
05/01/2016,280.3,284.98,273,282.22,1762900,ENGRO
06/01/2016,281.65,285.75,280.64,281.59,1140700,ENGRO
07/01/2016,279.89,281,277.2,277.67,2008100,ENGRO
08/01/2016,278.44,280.85,275.2,277.86,2078800,ENGRO
09/01/2016,278.44,280.85,275.2,277.86,2078800,ENGRO
10/01/2016,278.44,280.85,275.2,277.86,2078800,ENGRO
11/01/2016,277.77,279.86,273.8,274.17,1552600,ENGRO
12/01/2016,274.25,277.7,271.11,275.87,2410400,ENGRO
13/01/2016,279.25,280.5,275.5,276.4,1033700,ENGRO
14/01/2016,273,274.8,269,272.23,1291700,ENGRO
15/01/2016,272.8,275,265.5,268.66,1319000,ENGRO
18/01/2016,265.1,268.45,256,266.03,2192200,ENGRO
19/01/2016,266.9,271,264.6,267.85,1869100,ENGRO
20/01/2016,265.01,265.9,262.12,263.33,1036000,ENGRO
21/01/2016,265.24,266,258.1,259.54,1429800,ENGRO
22/01/2016,262,262.89,255.1,257.06,2178900,ENGRO
25/01/2016,258.8,261.49,256,258.03,1496000,ENGRO
26/01/2016,257.6,257.6,253.25,256.56,1345800,ENGRO
27/01/2016,258.01,261.45,254.3,255.6,1526300,ENGRO
28/01/2016,256.26,263.94,254.6,263.13,2862700,ENGRO
29/01/2016,264,268.5,262,265.7,2112700,ENGRO
01/02/2016,265.56,274.89,262.55,273.72,2163300,ENGRO
02/02/2016,274,276,272.21,273.61,1330600,ENGRO
03/02/2016,273,273.9,269.35,270.42,1402000,ENGRO
04/02/2016,271.25,275.75,271.25,275.04,1674400,ENGRO
08/02/2016,275,278.5,274,275.14,1440200,ENGRO
09/02/2016,274.5,275.5,272.6,273.75,964100,ENGRO
10/02/2016,273,277.25,272.69,275.72,1775400,ENGRO
11/02/2016,275.5,275.75,269.05,270.67,1371200,ENGRO
12/02/2016,270.85,271.4,264.25,265.5,1043300,ENGRO
15/02/2016,267.99,271.97,267.25,270.12,918000,ENGRO
16/02/2016,270.11,272.9,264.65,265.47,1214100,ENGRO
17/02/2016,264.9,268.4,263.1,266.91,661400,ENGRO
18/02/2016,269.6,274.1,264.75,271.42,3768800,ENGRO
19/02/2016,271,271,265.5,266.11,1773700,ENGRO
22/02/2016,266.2,269.8,263,267.39,1546200,ENGRO
23/02/2016,268.48,269,260.6,264.19,1359600,ENGRO
24/02/2016,265.94,269.89,263.05,267.09,1271300,ENGRO
25/02/2016,267.49,269.7,266.2,266.9,887800,ENGRO
26/02/2016,268,275.75,268,274.92,3137400,ENGRO
29/02/2016,275.5,282.3,273.5,280.75,2604900,ENGRO
01/03/2016,281.7,283.3,278.5,282.16,1873200,ENGRO
02/03/2016,284,287.25,281,282.44,3178600,ENGRO
03/03/2016,288,296.56,288,296.56,5287500,ENGRO
04/03/2016,311.38,311.38,308.55,311.38,4497500,ENGRO
07/03/2016,314.99,319.5,309,317.69,7039800,ENGRO
08/03/2016,317,319.3,312.2,313.34,4156300,ENGRO
09/03/2016,312,313.88,309,311.33,1855000,ENGRO
10/03/2016,312,312.85,305.56,306.49,2090900,ENGRO
11/03/2016,305,308.25,304.5,307.35,1587100,ENGRO
14/03/2016,308,318.4,308,313.53,4655500,ENGRO
15/03/2016,313.39,314.56,310,311.04,3133400,ENGRO
16/03/2016,310.5,313.34,309.03,309.69,2294800,ENGRO
17/03/2016,311.9,314.39,309.2,313.5,2891200,ENGRO
18/03/2016,315,316.09,308.51,310.22,2703400,ENGRO
21/03/2016,310.22,311.78,307.61,308.02,1603500,ENGRO
22/03/2016,308.2,309.65,306.75,307.36,1102100,ENGRO
24/03/2016,307.01,309.7,306.69,308.26,647000,ENGRO
25/03/2016,308.9,309.78,307,307.25,553900,ENGRO
28/03/2016,306.01,312.3,306,310.69,1154100,ENGRO
29/03/2016,311.99,312.88,309,309.39,1001700,ENGRO
30/03/2016,309.9,312.3,308.8,310.97,1346800,ENGRO
31/03/2016,312.1,316.5,312,315.7,3407300,ENGRO
01/04/2016,317,320.9,314.82,319.77,1815000,ENGRO
04/04/2016,322,325,320.2,324.69,1792800,ENGRO
05/04/2016,326,331.24,325.11,326.11,2852800,ENGRO
06/04/2016,326.5,328.5,324.05,326.11,1717500,ENGRO
07/04/2016,322,322,318.1,318.69,968100,ENGRO
08/04/2016,319.4,320.73,317.5,318.99,961600,ENGRO
11/04/2016,320,322.99,311.01,311.63,2447900,ENGRO
12/04/2016,311.4,314,308.5,309.33,1964300,ENGRO
